title,price,pegi_rating,platform
Riders Republic PS5,"22,13",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Riders Republic PS5,"22,13",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"22,13",Advies: ,PlayStation 5
,,,
Ghostbusters: Spirits Unleashed - PS5,"29,99",Advies: ,PlayStation 5
,,,
Ghostbusters: Spirits Unleashed - PS5,"29,99",Advies: ,PlayStation 5
,"29,99",Advies: ,PlayStation 5
,,,
Yuoni - Sunset Edition,"24,97",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Yuoni - Sunset Edition,"24,97",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"24,97",Advies: ,PlayStation 5
,,,
Among US: Imposter Edition - PS5,"40,32",PEGI-rating: 7 jaar en ouder,PlayStation 5
,,,
Among US: Imposter Edition - PS5,"40,32",PEGI-rating: 7 jaar en ouder,PlayStation 5
,"40,32",Meer mogelijkheden,PlayStation 5
,,,
Ikai,"33,90",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Ikai,"33,90",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"33,90",Advies: ,PlayStation 5
,,,
Let's Sing 2022 mit deutschen Hits [+ 2 Mics] (PlayStation PS5),"56,62",USK-beoordeling: Vanaf 6 jaar,PlayStation 5
,,,
Let's Sing 2022 mit deutschen Hits [+ 2 Mics] (PlayStation PS5),"56,62",USK-beoordeling: Vanaf 6 jaar,PlayStation 5
,"56,62",,PlayStation 5
,,,
Videogioco Sony Interactive Sackboy: a Big Adventure,"39,02",PEGI-rating: 7 jaar en ouder,PlayStation 5
,,,
Videogioco Sony Interactive Sackboy: a Big Adventure,"39,02",PEGI-rating: 7 jaar en ouder,PlayStation 5
,"39,02",Mediaan: ,PlayStation 5
,,,
Wanted: Dead Collectors Edition - PS5,"79,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Wanted: Dead Collectors Edition - PS5,"79,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"79,99",Meer mogelijkheden,PlayStation 5
,,,
Sony Rainbow Six Siege Deluxe Edition - PS5,"19,99",USK-beoordeling: Vanaf 16 jaar,PlayStation 5
,,,
Sony Rainbow Six Siege Deluxe Edition - PS5,"19,99",USK-beoordeling: Vanaf 16 jaar,PlayStation 5
,"19,99",,PlayStation 5
,,,
Star Wars Jedi: Fallen Order NL Versie - PS5,,PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Star Wars Jedi: Fallen Order NL Versie - PS5,,PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,PlayStation 5
,,,
Metro Exodus Complete Edition (PS5) DE-Version,"30,77",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Metro Exodus Complete Edition (PS5) DE-Version,"30,77",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"30,77",,PlayStation 5
,,,
FIFA 22 NL Versie - PS5 (PS5),"19,97",PEGI-rating: 3 jaar en ouder,PS5
,,,
FIFA 22 NL Versie - PS5 (PS5),"19,97",PEGI-rating: 3 jaar en ouder,PS5
,"19,97",Advies: ,PS5
,,,
ACTIVISION Call of Duty: Vanguard zwart,"46,70",,
,,,
ACTIVISION Call of Duty: Vanguard zwart,"46,70",,
,"46,70",,
,,,
Tormented Souls,"26,49",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Tormented Souls,"26,49",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"26,49",Advies: ,PlayStation 5
,,,
,,,
,,,
,,,
,,,
MILESTONE 4 (PS5),"39,95",USK-beoordeling: Geen leeftijdsbeperking,PlayStation 5
MILESTONE 4 (PS5),"39,95",USK-beoordeling: Geen leeftijdsbeperking,PlayStation 5
,,,
MILESTONE 4 (PS5),"39,95",USK-beoordeling: Geen leeftijdsbeperking,PlayStation 5
,"39,95",,PlayStation 5
,,,
Forspoken,"49,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Forspoken,"49,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"49,99",Advies: ,PlayStation 5
,,,
Fortnite The Last Laugh Bundle (PS5),"29,99",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Fortnite The Last Laugh Bundle (PS5),"29,99",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"29,99",,PlayStation 5
,,,
ONE PIECE ODYSSEY,"54,00",Advies: ,PS5
,,,
ONE PIECE ODYSSEY,"54,00",Advies: ,PS5
,"54,00",Advies: ,PS5
,,,
Watch Dogs Legion PS5,"19,98",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Watch Dogs Legion PS5,"19,98",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"19,98",Meer mogelijkheden,PlayStation 5
,,,
Dying Light 2 - Stay Human,"47,78",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Dying Light 2 - Stay Human,"47,78",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"47,78",,PlayStation 5
,,,
Tour De France 2021,"18,53",,
,,,
Tour De France 2021,"18,53",,
,"18,53",,
,,,
Marvel's Spider-man : Miles Morales,"38,79",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Marvel's Spider-man : Miles Morales,"38,79",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"38,79",Mediaan: ,PlayStation 5
,,,
Road 96 PS5,"24,22",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Road 96 PS5,"24,22",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"24,22",Advies: ,PlayStation 5
,,,
Scarlet Nexus - NL Versie (PS5),"17,99",Advies: ,
,,,
Scarlet Nexus - NL Versie (PS5),"17,99",Advies: ,
,"17,99",Advies: ,
,,,
The Ascent (Standard Edition) - PS5,"29,48",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
The Ascent (Standard Edition) - PS5,"29,48",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"29,48",,PlayStation 5
,,,
Ratchet & Clank: Rift Apart,"69,99",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Ratchet & Clank: Rift Apart,"69,99",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"69,99",Advies: ,PlayStation 5
,,,
Yonder : The Cloud Catcher Chronicles - Enhanced Edition,"22,24",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
